comment_text,identity_attack_x,bias,target,category,rationale
I hope it goes down.  Some cleansing would be goodness  Think about who the left is?  Elitists blacks browns homos and other victims and deviants,0.771428571,bias,"left wing,blacks,browns,homossexuals","political,race,lgbtq",prejudice against lefts
Do all white nationalists have bizarre hair styles? This guy Trump...,0.5,bias,whites,race,prejudice against whites
What about all your angry white men attacking non whites in their offices clinics and churches? Wasnt it a white guy that parked a yellow Ryder truck filled with ANFO outside the Oklahoma City building with a child care center in it?   Oh yeah. How quickly you forget.,0.6,bias,"whites,men","race,gender",prejudice against white men
Totally disagree with these thugs.  They are no didferent from the klu klux klan. They are not doing anything positive only looting and destroying things. All black bloc should be arrested and thrown in jail.  If you want change then use the ballot box.,0.8,bias,blacks,race,prejudice against blacks
Not possible with all the bloodthirsty leftists and Islamists out there.,0.8,bias,"left wing,muslims","political,religion",prejudice against left wing and muslims
How come Black people arent put under the same microscope ? Is it because these politically correct are scared to?,0.5,neutral,,none,
Being antiracist isnt racist. The right has tried to peddle that antiwhite nonsense for two generations now since the GOP adopted all the orphaned racist southerners abandoned by the Democrats. No one has said border control is racist. Youre engaging in whats known as equivocation.,0.5,bias,whites,race,prejudice against whites
Right. There is a nationwide conspiracy to pick up and arrest black men. Got it.,0.6,bias,blacks,race,prejudice against blacks
Not personal at all Richard WhynerI despise all white supremacists who are too cowardly to openly declare themselves.  Even more than I despise the ones who arent.,0.7,bias,whites,race,prejudice against whites
Decent post but you need to drop the white trash thing.,0.72972973,bias,whites,race,prejudice against whites
Clean out the swamp.  Screen out the fragile seminarians early and often.  What a mess.   Gay orgies.  Who is Francis to judge though  Indeed.,0.575,bias,gays,lgbtq,prejudice against gays
Black Lives dont seem to matter. They keep filling up the prisons with billions of tax payer money down the toilet.,0.6125,bias,blacks,race,prejudice against blacks
Does our own include black and brown people?,0.6,neutral,,none,
This article sounds Painfully Black if you ask me,0.833333333,neutral,,none,
Promoting blacks in the HPD is brutalizing? How so? You against affirmative action for some reason?,0.6,bias,blacks,race,prejudice against blacks
The fact that you need to consult a web site in order to locate those measly 200 or so gayfriendly parishes out of a total of 17651 Catholic parishes in the United States is a statement in and of itself. Ill say no more.,0.6,bias,"christians,gays","religion,lgbtq",prejudice against christians and gays
Russell did three tours in Afghanistan and Iraq. He was taught that the solution to disagreement is through violence and that Asians and persons of Islamic beliefs are bad or evil and are in some twisted way a threat to our country. Since leaving the military he suffered a serious headbrain injury and is under the care of the Veterans Administration. These facts do not excuse his racist outrage but somewhat explain how he came to be the tormented individual that he is.,0.5,bias,"asians,muslims","race,religion",prejudice against asians and muslims
I agree that Lee was doing his duty and was an honourable man. However the guys trying to stop the removal of his statue arent interested in that they are interested in a form of white control of the South and having the black people put back in their places.,0.6,bias,"blacks,whites",race,prejudice against blacks and towards whites
I believe all Indians should go back to their reserves. there is no need for them to have an education Indians never went to school before the white man came here. If all Indians were back on the reserve they could immerse themselves in their culture and be happy. Canadians will continue to carry them on our backs.,0.5,bias,"indians,whites",race,prejudice against whites and indians
Well since youre gay I suppose its OK that you sexually harassed a minor. My bad.,0.7125,bias,gays,lgbtq,prejudice against gays
The violent and intolerant left?....more alt truth or in plain english lies.  6 Muslims in Quebec city might disagree if they were alive to tell you what they thought...just one example that comes to mind...oh and how about black people at a prayer meeting? Ring any bells?....oh heres another Timothy Mcveigh? In fact the list is pretty lengthy...and were not talking about a little property damage sir...  You might want to do a little learning yourself.,0.6,neutral,,none,
The Left hate on Left White Women in race for the Georgian Governors Race: One of the main mantras of the chant was trustblackwomen  URL thelefteatsitsownwhitefemalegovcandidateshouteddowningeorgia  I expect no less from your Racist Party lol  BLM Barry Jesse Al Fredericka and Holy women Ms. Nadal and Ms. Brazille should be Proud of themselves. The New m.o. of the Democratic Party antiWhites You got duped crafted by the Democratic Racist Tools,0.555555556,bias,liberals,political,prejudice against liberals
Hey look its more white folk that dont understand what its like to be black folk,0.6125,neutral,,none,
Deport him right Tumpites? Crimes are only committed by illegals and Muslims. Thats what y ou people makw it out to be. Crimes against the elderly are almost as bad as crimes against children in the law of of prisoners. Prisoners will give this guy a good treatment when He gets to the joint.,0.5,bias,"men, muslims","gender,religion",prejudice against
Wow Paris police.  Youve got Muslims who have taken over your city and shoot people when they get their feelings hurt so you kill a Chinese guy who is cutting up fish for dinner. Nice.,0.5,bias,"muslims,chinese","religion,race",prejudice against muslims and towards chinese
Most Republicans are probably retarded.,0.274193548,bias,republicans,political,prejudice against republicans
I read on three different places on the internet that Nick Travis is a transgender bathroom checker vigilante. Its out there go do your own google search,0.25862069,neutral,,none,
WE NEED TO PERSECUTE THESE CHRISTIANSPLEASE JOIN US,0.9,bias,christians,religion,prejudice towards christians
May the black faced loser be long gone.,0.851851852,neutral,,none,
PRips This sounds like a muslim trying to sound intelligent. Read the post again.,0.5,bias,muslims,religion,prejudice against muslims
I got your point NeoNazi GOOD Muslim BAD...MAGA,0.685714286,bias,muslims,religion,prejudice against muslims
Many Whites pretend diversity is a strength to avoid being called a racist. What evidence do Canadians have a White minority Canada will be safer wealthier and more united than now? None.,0.6,bias,whites,race,prejudice against whites
He was sick with hatred of white people who were his victims and should have never been aloud in this country cant you see hes a middle eastern muslim.,0.8,bias,muslims,religion,prejudice against muslims
Police are taught to look for unusual and suspicious behavior Black Male between 25 and 35 those are code wordslanguage to just pull over and harass black people.,0.7,bias,blacks,race,prejudice against blacks
Give it up Black.  You keep talking about this phantom working class that appears to fit every news article that features a story of Alaska Natives.  Ill bet you havent work all your life and now true hardworking people will have to subsidize you too.,0.5,bias,blacks,race,prejudice against blacks
Uh huh. Just like women get themselves raped.  Too bad lesbianism isnt a choice.,0.5125,bias,lesbians,lgbtq,prejudice against lesbians
Youre a crappy feminist.,0.552631579,bias,feminists,political,prejudice against feminists
White male racists did it,0.625,bias,whites,race,prejudice against whitess
Actually aparthied was created to protect whites from violent blacks. Now that whites have no power all of their fears are playing out and genocide is in full swing. The white population has gone from 30 to less than 10.,0.9,bias,blacks,race,prejudice against blacks
White supremacists and neoNazis deserve all the shaming and social punishment they get. Period.,0.525,bias,whites,race,prejudice against whites
Western chauvinist  white racist.,0.6,bias,whites,race,prejudice against whites
Since all do it...none are guilty or all guilty to the same degree?  Maybe a couple of nuclear bombs should be dropped on a Muslim country.,0.7,bias,muslims,religion,prejudice against muslims
... Republicans are super fakey christian dirt bags ... theyd stab anyone in the back for a buck.,0.571428571,bias,"republicans,christians","political,religion",prejudice against republican christians
Just so Im clear your approach to toughening up Christians is to throw rocks at them and see if they can take the hit?  Yoiks,0.285714286,neutral,,none,
Its not absurd to say a philosophy which calls for the death or enslavement of everyone else except Muslims has an influence. Islam is problematic as a belief system. All the Abrahamic religions are nonsense. STOP SPREADING LIES I blame the media for giving credence to such nonsense supernatural garbage clearly not real.,0.515151515,bias,muslims,religion,prejudice against muslims
Well well well look at this. Im taking the waiters side. I think this jackass is a lying low life looking to exaggerate his cause. This is typical black racist antiAmerican slander.,0.55,bias,blacks,race,prejudice against blacks and anti americans
Republicans are all about pretending and being fake Christians it is what they do BEST these days ...,0.5,bias,conservatives,political,prejudice against conservatives
Islam is a pernicious malignancy. Moses is the true prophet. I would prefer not being under Islamic compulsion. There is no redemption under compulsion. If youre forced to pray 500 times a day it has no true meaning because it was an act of submission not voluntary. Little wonder they rebel and see no future for themselves. They should ask Jesus and Moses to redeem them.,0.8,bias,muslims,religion,prejudice against muslims
I think it is just that a Muslim terrorist fits his narrative while a white one does not.  All in all pretty pathetic that he plays these games.,0.6,neutral,,none,
Black Lives Matter wait then what about Red White Yellow and Brown Lives? If blacks can say nigger in the white house then what the hell you doing taking my comments down? Get a pair nigga,0.787878788,bias,blacks,race,prejudice against blacks
Stop calling this vermin a white nationalist. Hes a white supremacist and a nazi the worst scum there is.,0.605263158,bias,whites,race,prejudice against whites
White lady ?  What  a disgusting remark.,0.256756757,neutral,,none,
So if I wear a Tshirt that says on the front Fuck black people and on the back says Being white is shit and walk around UCT campus it is just expression and art then I will agree with the courts decision.Otherwise I accuse it of prejudice and a doublestandard in the only time that will ever exist.Which is  drum roll please  right NOW,0.625,neutral,,none,
Who am I to judge? means very little when you just got fired for being gay while working for a church.,0.833333333,bias,gays,lgbtq,prejudice against gays
I agree with you Don227. If there was an article disparaging women as idiots there would be a protest and a parade.,0.833333333,bias,women,gender,prejudice against women
Those five police officers would still be alive if the police themselves didnt allow dirty cops to run roughshod over the people especially blacks.,0.638888889,bias,blacks,race,prejudice against blacks
WTF???? Stop demonizing black children?  How about these useless children stop terrorizing law abiding citizens?  He got what he deserved the little wanna be gansta punk.,0.631578947,bias,blacks,race,prejudice against blacks
So basically it will now be a crime to insult Prophet Mohammed. Canada joins the ranks of Islam the most backwards society on earth.,0.5,bias,muslims,religion,prejudice against muslims
Bc the left hates white people especially white men.  This is acceptable violence and hate for them.,0.621212121,bias,liberals,political,prejudice against liberals
How can you compare Japanese and Muslims. Japan attacked military targets only Extremist Muslims attack innocent civilians with bombs and chop their heads off if they refuse to convert and join their jihad. Japanese should be insulted by such comparisons.,0.5,bias,"asians,muslims","race,religion",prejudice against asians and muslims
I did no such thing.  I highlighted the hypocrisy and doublestandards of socalled Christian antiabortionists and nothing more.  The rest is what you read into it apparently.  Go back and read it again then tell me how I blamed Muslim misdeeds on anyone but themselves.,0.6,bias,christians,religion,christians are hypocrites
See? Catholicism is no better than Islam. Both religions hate women and homosexuals.,0.883060109,bias,"christians,muslims",religion,prejudice against christians
Zuma is a hopeless basket case. And he hates all white people which clearly makes him a racist.,0.530864198,neutral,,none,
The muslims guiding book of beliefs  their constitution is the koran. Read it  dozens of passages urge all muslims to either convert or abuse  kill all who do not subscribe to it. Considering the words in the koran I wonder how any reasonable person could call themselves a muslim. Clearly islam is the enemy of every person in the world including those who call themselves muslims.,0.9,bias,muslims,religion,prejudice against muslims
I wonder how many of the black students that complained about this are even local or state residents?,0.5,bias,blacks,race,prejudice against blacks
Living in Canada is worse than living in the Congo,0.5,bias,canadians,race,prejudice against canada
Multiculturalism is ok but it needs its limits. If we create a country that ignores uniform constitutional rights and endows or encourages different uneven rights upon separate groups  religious ethnic andor cultural  we will fail as a nation.  Thanks to mixedfeministIslamic messages from Trudeau Muslim women need help in Canada  clearly theyre prisoners in a culture with misogynistic cells where many masochistically selfimpose a lockdown with religious fervour and stubbornly argue with critics that its their democratic right to do so.  Easy to speak for the few too bad it imprisons the majority of fearful moderate Muslim women who given the chance just want to blend in with other western women.  How do we know this? Just look at the historical direction of Muslim women in Iran Pakistan Turkey and others where gradual relaxations on strict cultural garb inevitably leads to crushing crackdowns upon women by male Islamic religion police  be they official or unofficial.,1,neutral,,none,
lefties or liberals with mental disorders cannot handle the truth.,0.5,bias,liberals,political,prejudice against liberals and lefts
yes I have seen this and it is not a lie every muslim takes a vow to kill,0.7,bias,muslims,religion,prejudice against muslims
lying  black  bastard  happy?,0.796875,neutral,,none,
Unless the comparison is apt. Heres the 8chan thread Trump lifted his HillaryStar of David meme from:  URL  It also features sentiments such as: Death to all nonwhites Hail Victory and Jews are twofaced backstabbers who arent to be trusted and refers to Hitler as Uncle Adolf.  Recall he also retweeted this:    URL ?ref_srctwsrc5Etfw   from which Trump STILL hasnt taken down  And he told the Republican Jewish Coalition: Youre not going to support me because I dont want your money he said. You want to control your own politician.  Cant you connect the dots Kalli?? Or are pleased that a white supremacist will shortly be occupying the Oval Office?,0.8,bias,whites,race,prejudice against whites
I know. I keep getting figuratively spat on for pointing it out. There are Caucasoid Mongoloid and Negroid Muslims  all threee races,0.565789474,neutral,,none,
Theres no grouping clueless  Check out the FACTS which apparently dont fit your liberal views.  70 out of wedlock birth rate among young black females and to many of the males leaving them alone.  Black on black crime rate up double digits in Chicago in 2017 alone  And the lists go on and on.  Im no where near as ignorant and arrogant as you sound  Just so you know I was born into a military family and was going to the same schools riding the same buses walking the same streets scout troops sports and eating in the same lunch rooms as blacks Hispanics and Asians.  And this was in the 50s  60s long before you ever saw the first minority.  And guess what clueless??  We  got along because we all were held to the same standards expected of military personaldependents living on base or in the surrounding areas.  Just a little personal knowledge and experience,0.6,bias,blacks,race,prejudice against blacks
Just take a look at what they do to gays in Muslim countries like Yemen Saudi Arabia and Iran  and Kenney and the Conserves are our saviors by comparison.,0.5,bias,"muslims,gays","religion,lgbtq",prejudice against muslims and towards gays
Just another Middle Eastern mouthpiece meddling where he doesnt belong. Cant even run his own shit hole Country much less anyone elses. Giving Muslims a bad name just what they need,0.528571429,bias,muslims,religion,prejudice against muslims
Looks like 90 of americans are utterly useless and deserve to die.  Seriously never been camping without electronics? Ever? Never done survival for 2 weeks innawoods? Its not hard I for one welcome a NK EMP because while only 10 will live we will be 100 white.,0.5,bias,americans,race,prejudice against americans
Yeah the whites will play every dirty trick to make her look as if shes not the right person to lead SA,0.53125,bias,whites,race,prejudice against whites
Funny. So born and bred German boyos dont do any rapin? Just like in Canada its the minorities like Bernardo Williams and Pickton raping Canadian women. You dont seem to car about that though. Why? Why are you not affronted by white men rapin yer wimminfolk?   lolz,0.6,bias,whites,race,prejudice against whites
They are the freakie new breed of drag queens. They cant even admit they are gay.,0.8,bias,gays,lgbtq,prejudice against men
ROI on blacks and browns are an immediate loss,0.5375,bias,"blacks,browns",race,prejudice against blacks and browns
hows my boy gonna get his money if he dont steal. direct quote from a mother of black boy who was caught stealing.,0.6,bias,blacks,race,prejudice against blacks
But the NFL obviously discriminates against nonblacks... its 70 percent black. Is that really the right place to push equality?,0.5,bias,blacks,race,prejudice against blacks
White Radical Christian Terrorist.,0.702702703,bias,"whites,christians","race,religion","prejudice against whites,christians"
White slaves   We must work so they need not.,0.9,bias,whites,race,prejudice towards whites
Here is another good one.  Type in Muslim rape in Google and there are 21M stories about it.  This is their culture all of these stories cant be fake.      URL meatbritainsmuslimrapegangcoverup,0.6,bias,muslims,religion,prejudice against muslims
They killed my brother. and I believe I see a white person there. So stop with the race bait bullshit. A BLACK person KILLED MY BROTHER.,0.814285714,bias,whites,race,prejudice against whites
The party is the home of ignorant blacks self hating leftist Jews gays feminists and union thugs They can kiss middle America goodbye.,0.9525,bias,"blacks,jews,feminists,gays","race,religion,lgbtq,political","prejudice against blacks,jews,feminists,gays"
black  criminal  privilege  started,0.742424242,bias,blacks,race,prejudice against blacks
All for show.  Its a j0ke.  He hates black people.  And brown people. And...,0.6125,neutral,,none,
The worry that Trumps hateful attitude towards Muslims outside the United States will extend to them is quite understandable.,0.5,bias,muslims,religion,prejudice against muslims
Must suck to be white trash these days.,0.919135802,bias,whites,race,prejudice against whites
Yes Christians are all good Muslims are all bad  Trump is always right   Back to the dark ages for the USA if this gang get their way.,1,bias,"christians,muslims",religion,"prejudice against christians,muslims"
Blacks make up approximately 13 of the US population while they commit 52 of crime. In 2014 according to the FBI 90 of black homicide victims were killed by other black people.  Honestly this is where the protesting should be.,0.8,bias,blacks,race,prejudice against blackss than whites
Agreed if only reason they are enlisting is to have their transgender costs covered.  I think we should let them in but not cover any of that transgender medical treatment.  If they then cannot meet requirements of military in terms of readiness to deploy etc. then cut them loose.,0.5,bias,transgenders,lgbtq,prejudice against transgenders
Oh no ... we rather give THAT to Islam Migrants that we are bringing in WITHOUT ASKING CANADIANS IF WE SHOULD Despicable Feds I am really NOT LIKING WHAT THEY ARE DOING.,0.274193548,neutral,,none,
ah  the  race  card  so  typical unless  the  killer  is  a black  or  a  hispanic  then its  just  coincidence  right?,0.5,bias,blacks,race,prejudice against blacks
Youre saying your god doesnt believe in abortion? Really? Read the old testament. He orders his minions to kill every man woman including pregnant ones and child except for the virgin girls so many times. Hes a psycho. He made homosexuality because to christians he made us all.  In the new testament Jesus does not follow the old rules. Remember an eye for an eye? He changed it to turn the other cheek. Jews stoned people but Jesus didnt. He actually stopped a stoning. Telling them those without sin can continue to stone her.  Id suggest you read how the bible was put together and when. I did that after Prevo start thumping his bible to keep gay discrimination going. I keep meaning to thank him for helping me become an athiest.,0.7,bias,homosexuals,lgbtq,prejudice against homosexuals
Feminism is... Sorry but Feminism note the big F rather than the little f is not at all about equality. And how dare you use such outdated heteronormative cisgendered patriarchal misogynistic terminology??,0.254237288,bias,feminists,political,prejudice against feminists
President Obama pardoned 4 star Marine general Cartwright today. How gay is that Trumplettes?,0.5,neutral,,none,
Ban Muslim refugees and  I will vote for you,0.697368421,bias,muslims,religion,prejudice against muslims
May blackk s  dance European style ballet or play Beethoven and Bach however well? Shall we permit naives to eat pizza or wear blue jeans? How about stopping blacks from using  public toilets and public water fountains which were the invention of 17 century English white people.,0.833333333,bias,blacks,race,prejudice against blacks
Many nonwhites are very racist people.,0.515625,bias,non whites,race,prejudice against non whites
Please enlighten me how in your opinion is Mayor Khan responsible for the terrorist acts committed by a bunch of lunatics who call themselves Muslims. Blaming Mr. Khan would be as silly as blaming all Christians for the atrocities committed by the Ku Klux Klan.,1,bias,"muslims,christians",religion,prejudice against muslims and christians
How else will we learn.  Demented leftist Your feminism has turned 70 percent of women into addicted depressed low wage slaves.  You will never learn,0.833333333,bias,feminists,political,prejudice against feminists
Except that Francis is really no more welcoming to gays than his immediate predecessors. He hasnt said You should not fire gay employees for being civilly married. Thats is something he should insist on if he truly means for the Church to be welcoming to LGBTs.,0.5,bias,gays,lgbtq,prejudice against gays
Antihomosexual womanhating religious fanatics are not exclusive to Islam. Christianityinspired terrorism is something with which Americans are already quite familiar and the fanatics even have their own party: the GOP.  Violent Christian fanatics vote Republican.,0.5,bias,"women,christians,homosexuals","gender,religion,lgbtq","prejudice against women,christians and homosexuals"
What a load of garbage.  The middle east are Arabs.  It shouldnt be something that needs to align with the West.  Its THEIR lands.  Let them figure it out for themselves.  Show some respect.  We need OUT.,0.2875,neutral,,none,
Islamic fundamentalists assassinated innocent Christians and others in Europe see Charlie Hebdo.  A Christian fundamentalist assassinated innocent Muslims at a mosque in Quebec.   One murder is one too many. Protectionist policies are good for now.,0.6,bias,muslims,religion,prejudice against muslims
When all else fails blame white males,0.9,bias,"whites, men","race,gender","prejudice against whites, men"
This guy sounds like a girlly man,0.263157895,bias,women,gender,prejudice against women
Latinos?  The illegal INVADERS that are the surge of America.,0.8,bias,latinos,race,prejudice against latinos
She probably was the only black female applicant at that time...,0.5,bias,"blacks,women","race,gender",prejudice against blacks female
YAY  the system works as designed for entitled wealthy white trash Meanwhile in St Louis a judge lets a fired cop go free for killing and planting evidence on a black guy and a white campus cop admits he made up a story about being shot by a black guy on an all female campus. These are the stories my police officer husband and I get to tell our sons about when we have the talk. Sure...sounds like maga slop to me.,0.515625,bias,whites,race,prejudice against whites
If you are going to start naming terrorists those lists should include all the Christian extremists who have done more damage on this continent than any other religious sect.,0.6,bias,christians,religion,prejudice against christuians
I love all people but they had better think just like me or I will damn them to hell . . .  Sounds pretty Christian to me.,0.6,bias,christians,religion,prejudice towards christians
Hey look at the comment section   A bunch of white folk arguing about how black folk dont have it bad .....cause ya know white folk know all about being black.,0.6125,bias,"whites,blacks ",race,prejudice against whites and blacks
Im more curious about the reaction to 1k gay priests saying Were gone More than a few have already gone to live their vocations in different pastures and probably a few more will move on because of this.,0.5,bias,gays,lgbtq,prejudice against gays
No they have articulated just fine. They are opposed to blacks being murdered by cops just for being black.  Otoh you and other far righties continue to try and distort this issue.  Now I do not agree with taking a knee during tge anthem but even the owners are not firing them. In fact many are backing this. And yes you are free to gripe all you want. But to lie about it you are not. Sadly u and others get by with it because nobody will go after all the liars.,0.7,neutral,,none,
Take the idiot pastor with you.  Heck take all of the evangelical wackjobs as well.,0.560606061,bias,evangelicals,religion,prejudice against evangelicals
The word civilians means nothing to them. They want to kill ALL of the Infidels.   Islam  Death Cult,0.628571429,bias,muslims,religion,prejudice against muslims
Of course no charges.  Its not illegal for cops to shoot blacks.,0.75,bias,blacks,race,prejudice towards blacks
.....Communist China and their bought off shiny ponies and flood of future Muslim terrorists courtesy of the little potato has sure helped also,0.8,bias,muslims,religion,prejudice against muslims
I had the same realization of the left and right in high school eventually the extreme left and right parties will join together over a petty fear. So far the petty fear has been Black people Arabic people Hispanic people and soon white people specifically elitist white people which includes both Trump and Hillary. Already defeated by extreme left and right includes Cruz Kasich Carlson Bush and McCain.,0.5,bias,"blacks,whites",race,prejudice against races
This is absolutely delusional. Sounds like you think you are a victim eh? Poor white males and their suffering at the hands of those aggressive women,0.581818182,bias,"whites,men","race,gender",prejudice against white men
Shooting black kids with toy guns in a playground is what the American police does right?  We could make this inane comparisons forever. What I do know is that you have never been to Saudi Arabia or Dubai. Your endless knowledge about those places comes from a very small base.,0.7,bias,blacks,race,prejudice against blacks
Dont forget affirmative action.... aka black privilege.,0.7,bias,blacks,race,prejudice against blacks
There are also a lot more whites killing whites than cops killing whites.,0.55,bias,whites,race,prejudice against whites
Mr. Stephan may I suggest you call 1800OHBOOHOOHOLLARYLOST. They have grief counselors on standby. Say is she in prison yet? Tell us why did you and your friends work so hard to get this criminal elected? Intelligent discussion? With a DemoRat? Fine tell me how is America greater if we allow you and your ilk to bring in a million Muslims who all want us dead?,0.6,bias,muslims,religion,prejudice against muslims
Islam is homophobic sexist xenophobic and misogynist yet feminists ardently defend Islam. Strange world we live in run by SJW weirdos.,0.65,bias,muslims,religion,prejudice against muslims
Im a Republican. I voted against Clinton. Im Caucasian. Im prejudiced against blacks. Before you blow a fuse ask me about it. Also dont confuse me with white supremacists. I admire this strong black man: Milwaukee County Sheriff David Clarke. I hope he runs for POTUS in 2020. Hed get my vote.,0.5,bias,"whites,blacks",race,prejudice against blacks and whites
Why was this comment rejected by the civil comment gestapo? The democrats will not be happy until all of us are disarmed and cowering helplessly facedown on the floor of a gay bar toilet.,0.6,bias,gays,lgbtq,prejudice against gays
An excellent way to undermine families is to sustain a drug war and incarcerate a large percentage of black males over several decades.,0.8,bias,blacks,race,prejudice against blacks
Right. Lets give more money to the Catholic school system. Maybe the pedophile priests and bishops will use condoms from now on when they sexually molest innocent little boys. The pedophiles all belong in jail.,0.5,bias,christians,religion,prejudice against christians
Another White Guy telling Africans and black people...grow slower you hurt the Arabs... Typical American style stabbing  Thanks to china we DO NOT Listen to this type of cheap shots anymore.  I am glad you made some Arab Money tho.,0.5625,bias,whites,race,prejudice against whites
That would mean we would be executing Muslims by chopping their heads off or burning them alive in iron cages.,0.684210526,bias,muslims,religion,prejudice against muslims
According to those same statistics just under 16 of homicides of whites were committed by blacks.  So white people are at far greater risk of being killed by other white people than by black people.,0.8,bias,whites,race,prejudice against whites
Islamic radicals like mad dogs bite themselves along with everyone  everything else.,0.666666667,bias,muslims,religion,prejudice against muslims
Trump loves the poorly educated.  White racists love Trump.,0.5125,bias,whites,race,prejudice against whitess
Asian countries for Asians.  Black countries for Blacks.  but White countries for Everybody?  Thats GENOCIDE  Antiracist is a codeword for AntiWhite,0.590909091,neutral,,none,
Yet more antiMuslim hatred being spammed even in the wake of the Quebec City shootings.  Disgusting.  We see you BreitbartRebel trolls and again reject you ,0.272727273,neutral,,none,
So Gabby is the worst because she didnt put her hand over her heart?  This is the most ignorant statement Ive read today. You know what the worst was at the Olympics? The four American swimmers that lied about breaking down a door. One actually said the gunman put the gun to his head.  Except there was no gunman. This is an embarrassment to the US. Not Gabby. I think youre white privilege is showing.,0.5,bias,whites,race,prejudice against whites
all the nonwhite populace.,0.5,neutral,,none,
Why didnt you post the full statistics that show blacks kill blacks more tahn any other race? Why just cherry pick the data you want and turn a blind eye to the rest?,0.545454545,bias,blacks,race,prejudice against blacks
I never said keep him in jail without a trial. I was responding to the implication that radical islamic terrorists are somehow equivalent to the other groups he mentioned. The Tea Party? Really? You guys are pathetic and desperate.,0.2625,neutral,,none,
